FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,DONATION,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,WORK_LIFE_BALANCE_SCORE,DAILY_STRESS,ACHIEVEMENT
5,10,10,10,10,5,10,6.0,8,2,8,0,1,2,10,3,10,4,754.8,0,6
1,2,4,3,4,1,6,4.0,3,5,6,0,0,2,4,1,5,3,624.2,4,3
4,4,4,3,6,3,8,1.0,7,5,8,0,6,2,4,1,4,3,676.4,2,7
3,0,1,0,0,3,3,0.0,2,1,7,3,2,1,2,0,1,2,573.2,4,0
2,0,1,10,0,1,0,5.0,1,2,5,10,0,2,10,0,1,4,581.1,5,0
5,5,2,3,5,1,6,1.0,3,4,7,10,7,2,2,2,5,3,624.4,3,2
3,6,5,4,7,1,5,3.0,6,3,8,10,2,2,4,5,7,2,667.7,1,4
4,1,3,6,3,2,4,4.0,6,4,8,0,1,2,4,5,8,2,667.7,2,8
5,10,10,10,5,5,6,4.0,6,2,8,0,1,2,10,6,10,2,754.4,2,10
4,5,9,4,10,3,6,4.0,6,1,6,0,2,2,10,3,7,3,706.4,3,7
5,8,4,3,9,1,1,2.0,8,1,5,6,0,2,4,1,3,4,645.4,5,3
1,1,3,1,5,1,3,3.0,1,3,5,4,3,2,4,8,2,3,598.1,3,1
2,4,8,1,3,3,3,1.0,7,2,7,10,5,2,5,0,4,2,625.2,2,0
5,10,10,10,10,5,7,5.0,3,1,7,10,1,2,10,2,5,2,728.1,1,10
4,2,2,10,8,5,4,0.0,2,1,7,0,1,2,7,0,7,4,668.4,3,1
2,9,3,2,8,1,8,3.0,6,5,8,0,10,2,10,1,8,3,672.8,3,3
5,6,10,10,10,2,7,5.0,8,10,6,0,3,2,10,6,3,4,710.2,4,2
1,3,2,0,6,5,3,2.0,3,0,7,10,0,2,0,4,10,1,629.5,2,1
2,0,10,7,10,4,5,10.0,8,5,6,0,3,2,5,2,4,3,693.2,3,1
4,7,5,10,10,4,3,1.0,6,3,7,10,10,2,3,2,5,2,638.6,4,4
4,6,10,7,10,3,6,6.0,7,10,8,0,2,2,10,4,10,3,729.1,3,7
2,4,3,1,3,1,2,8.0,4,1,6,5,4,1,8,1,2,4,607.4,3,2
4,2,5,8,10,4,8,2.0,9,2,7,0,1,2,7,1,2,2,685.1,4,1
2,3,5,2,10,1,5,6.0,5,0,8,5,1,2,3,3,10,2,655.6,5,4
2,4,2,10,2,2,9,2.0,5,1,8,0,2,2,5,5,10,3,664.1,1,2
2,3,8,6,3,5,4,1.0,3,1,8,0,1,2,7,1,5,2,672.2,2,5
1,5,6,8,7,3,7,2.0,2,3,7,0,1,2,5,5,7,4,665.0,2,3
2,6,10,10,7,2,4,4.0,4,1,6,4,1,2,10,5,7,3,687.3,2,10
5,2,3,0,5,2,9,5.0,4,5,8,10,5,2,4,3,3,4,646.9,1,1
4,10,6,10,2,1,8,1.0,8,3,8,5,5,2,7,1,5,4,681.7,4,8
4,10,8,10,8,3,10,2.0,10,2,7,0,1,2,6,5,7,4,741.4,1,8
3,5,4,10,10,4,9,6.0,10,5,8,8,0,2,10,7,5,2,722.9,1,10
3,0,6,0,4,0,2,2.0,8,2,9,6,10,2,2,0,9,1,620.7,4,7
3,0,4,0,3,0,3,0.0,8,2,8,7,10,2,1,0,5,1,589.9,4,0
5,6,5,3,10,0,10,3.0,5,10,7,0,2,2,10,2,10,2,720.0,1,5
3,5,1,3,1,1,1,0.0,5,0,8,10,7,2,3,1,3,2,575.7,3,1
5,8,10,6,10,0,3,6.0,5,0,6,5,0,2,5,0,7,4,684.1,1,2
5,10,10,10,10,5,7,10.0,5,5,7,8,1,2,10,10,10,3,769.3,2,10
2,3,3,3,6,1,1,2.0,3,0,6,5,2,2,6,1,3,3,620.8,3,4
1,0,4,2,10,3,3,5.0,1,0,4,5,2,1,10,8,3,2,601.3,5,2
5,9,10,10,10,5,10,10.0,8,10,5,5,1,2,10,10,10,4,771.2,2,10
4,5,4,10,5,5,7,1.0,8,0,7,0,4,2,4,1,10,4,671.3,2,1
4,5,8,2,7,0,5,1.0,2,1,7,5,0,2,3,3,10,2,649.7,5,4
1,1,5,6,3,3,3,1.0,5,2,5,10,4,2,10,1,3,2,600.6,4,1
4,4,3,10,10,0,10,0.0,8,10,7,0,7,2,5,2,10,3,700.2,2,4
4,1,4,0,4,0,10,0.0,10,0,6,0,1,2,2,0,7,3,646.0,2,1
0,2,5,3,7,2,5,7.0,3,0,7,0,5,2,3,6,6,3,636.3,1,2
2,3,8,6,10,5,7,1.0,2,2,6,0,2,2,6,0,10,2,681.8,3,3
3,5,9,9,10,4,5,9.0,5,3,5,10,1,2,7,9,5,3,699.2,1,8
4,10,5,5,7,5,6,1.0,2,5,6,0,2,1,4,3,3,4,642.7,4,2
3,1,4,2,10,5,3,2.0,7,8,5,3,0,1,6,2,7,2,665.6,3,6
5,10,6,5,6,1,5,1.0,5,2,6,0,1,2,5,10,7,4,684.1,0,2
2,10,10,4,6,1,1,2.0,6,3,6,7,5,2,7,2,8,3,641.8,3,3
1,0,1,10,10,5,5,4.0,1,1,8,5,1,2,2,5,1,4,627.6,4,2
3,5,2,10,10,5,7,3.0,5,0,5,0,4,1,10,1,10,3,673.7,5,5
1,10,4,10,6,1,8,1.0,3,8,7,0,1,2,10,3,5,4,682.2,4,10
1,2,3,1,5,4,5,0.0,1,1,6,7,4,2,2,0,1,3,579.6,3,0
5,3,5,5,2,5,0,3.0,3,0,7,0,0,2,5,4,10,4,656.7,2,2
5,2,2,1,2,0,8,4.0,5,2,8,0,2,1,8,4,10,1,655.6,2,4
5,10,6,5,6,0,6,8.0,8,3,9,0,10,2,5,6,10,1,709.1,2,7
5,2,3,1,1,0,1,1.0,5,1,9,5,8,1,1,0,2,2,553.8,5,0
3,2,4,1,7,2,3,3.0,7,3,8,5,4,2,7,0,10,2,630.5,4,1
2,10,8,10,6,2,8,7.0,6,3,8,0,3,2,8,4,2,1,710.2,1,3
3,10,10,10,7,5,8,5.0,8,10,5,8,1,2,10,4,10,3,754.2,1,10
3,8,6,4,10,2,4,3.0,6,2,6,0,1,1,10,1,7,3,657.1,3,5
2,3,4,3,10,0,9,3.0,10,2,6,8,9,1,2,2,4,2,610.3,5,2
1,1,0,0,2,1,1,0.0,1,0,7,10,7,2,2,0,10,2,556.0,3,1
4,4,1,3,10,0,0,1.0,5,0,6,10,10,1,0,0,7,2,554.9,5,0
3,10,2,10,5,5,7,4.0,2,1,6,0,0,2,4,4,10,3,683.5,1,2
5,10,3,6,6,2,10,2.0,10,5,8,1,7,2,10,5,10,2,721.2,2,5
2,7,6,5,10,3,9,5.0,4,2,7,0,1,2,4,4,3,2,668.8,3,3
2,10,5,2,10,1,7,3.0,5,5,7,5,5,1,1,5,10,3,638.4,2,2
