,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
17,4,2,10,10,5,10,0,1,1,7,1.0,10,2,8,0,3,2,4,8,6,2,0,707.6
18,5,3,10,7,10,5,6,5,1,6,2.0,8,10,9,0,7,2,5,4,7,3,1,727.8
19,3,1,6,10,10,6,3,5,2,8,4.0,1,5,8,0,0,2,5,1,2,3,0,687.1
20,2,4,3,8,6,5,1,2,1,8,1.0,4,6,4,0,3,2,3,2,5,2,0,652.9
21,3,5,5,4,5,3,2,5,2,10,6.0,3,3,7,5,7,2,10,10,10,2,1,668.6
22,5,2,8,6,10,10,6,4,2,4,4.0,3,3,7,1,2,2,10,6,8,3,0,709.4
23,2,2,6,10,10,10,10,5,1,10,6.0,7,4,7,0,1,2,10,5,7,3,0,752.7
24,2,4,6,10,5,5,6,4,2,6,1.0,7,10,6,0,3,2,1,3,10,3,1,677.7
25,1,5,1,3,6,5,3,5,1,2,2.0,8,1,7,0,6,2,5,1,1,2,0,633.9
26,1,4,1,2,5,3,1,5,1,1,5.0,8,1,7,0,4,2,2,1,1,2,0,628.8
27,2,4,10,3,10,7,8,3,1,6,0.0,5,5,7,0,1,2,10,2,2,2,1,692.8
28,3,4,6,4,7,10,3,3,1,4,1.0,10,5,6,0,3,1,7,2,8,3,1,673.2
29,4,2,10,3,1,2,3,3,1,7,2.0,4,1,7,0,3,2,10,1,7,1,1,673.9
30,5,3,10,3,7,5,3,2,1,7,2.0,10,10,7,0,0,1,10,5,10,2,0,712.5
31,3,1,3,5,2,10,4,2,1,5,4.0,3,10,8,0,1,2,10,4,1,3,1,692.6
32,0,5,0,3,3,8,1,5,2,4,4.0,1,1,6,10,10,2,3,2,1,3,1,574.5
33,1,3,10,3,2,3,2,0,1,2,2.0,5,2,8,0,0,1,4,3,7,4,1,630.1
34,4,2,10,6,10,8,10,2,1,10,2.0,10,5,7,0,3,2,10,4,10,2,0,746.5
35,3,3,0,2,0,5,0,5,2,3,1.0,2,0,6,0,6,1,2,2,10,2,0,591.7
36,2,3,7,4,10,8,10,5,1,5,5.0,2,10,6,0,3,2,10,6,10,4,1,729.4
37,2,5,1,8,5,2,2,5,2,2,0.0,10,0,8,7,10,1,2,0,10,3,1,593.7
38,4,1,1,10,10,10,5,5,2,8,3.0,7,3,6,7,2,1,6,4,10,4,0,682.8
39,5,3,6,6,10,7,3,5,1,8,5.0,3,4,9,0,3,2,6,6,10,4,1,723.4
40,4,2,10,8,8,4,6,3,1,5,4.0,3,2,7,10,1,2,5,4,8,2,1,687.3
41,4,3,10,8,10,3,2,3,2,0,0.0,3,0,5,0,2,2,4,0,2,4,1,635.9
42,2,3,0,8,10,10,1,2,2,5,0.0,2,10,9,0,3,1,10,0,10,4,1,655.2
43,3,2,4,1,1,10,3,2,1,7,5.0,7,2,7,4,3,1,3,5,8,2,0,652.4
44,2,3,3,10,3,4,0,4,1,7,1.0,8,1,8,0,3,2,2,2,3,3,1,657.9
45,3,5,10,2,9,10,5,5,1,10,1.0,10,10,5,10,7,2,7,2,2,3,1,686.6
46,5,3,10,10,10,6,4,5,1,7,4.0,10,2,6,5,1,2,8,4,10,4,1,732.7
47,4,2,10,10,5,8,5,2,2,6,3.0,10,2,8,2,2,1,10,3,7,2,1,685.5
48,3,2,8,10,10,10,8,5,2,10,3.0,7,10,7,1,2,2,10,3,10,4,1,742.5
49,2,3,3,10,10,10,5,1,2,7,4.0,2,6,8,0,2,2,4,1,1,3,1,663.5
50,4,3,6,3,10,10,5,4,1,4,6.0,8,3,7,0,4,2,4,5,9,2,1,710.4
51,3,5,8,9,5,10,4,2,2,8,4.0,10,2,8,10,4,2,3,3,5,2,1,658.3
52,1,2,4,6,1,10,4,0,2,5,1.0,5,1,6,0,1,2,8,1,2,3,0,633.1
53,5,2,3,6,4,9,3,2,1,5,3.0,6,3,8,0,3,2,2,3,5,4,1,677.9
54,4,2,5,10,10,2,5,3,2,4,2.0,1,1,6,10,1,2,3,4,4,2,1,640.8
55,1,4,1,1,1,7,1,0,1,0,5.0,3,1,6,10,8,1,2,2,1,1,1,557.9
56,4,2,8,6,2,10,1,1,2,6,3.0,5,10,8,3,3,2,10,1,2,3,1,669.2
57,5,4,10,6,5,10,7,4,1,4,4.0,10,1,7,0,2,2,6,4,5,3,0,712.5
58,4,3,10,1,10,2,4,5,1,9,2.0,10,2,7,0,0,2,10,1,7,4,1,712.5
59,0,5,0,2,1,2,0,5,1,0,0.0,1,0,10,0,2,1,1,0,0,2,0,571.9
60,0,5,0,2,1,2,1,5,1,1,0.0,1,0,10,0,2,1,1,0,0,2,0,575.3
61,4,3,1,7,5,8,5,3,1,7,3.0,8,3,7,10,1,2,3,9,4,2,1,678.1
62,5,2,4,5,4,4,2,1,1,4,4.0,6,3,7,8,3,1,4,8,8,2,0,648.8
63,1,1,10,2,1,5,1,0,1,5,4.0,8,1,6,5,0,2,4,1,7,2,0,649.0
64,2,5,6,4,10,0,10,3,1,5,1.0,2,1,9,0,4,1,10,1,10,3,1,656.9
65,3,3,6,8,7,6,6,2,1,8,4.0,5,3,6,4,7,2,5,4,8,2,1,680.7
66,3,3,6,8,7,6,6,2,1,8,4.0,5,3,6,4,7,1,5,4,8,2,1,663.7
67,2,1,3,3,2,4,1,5,2,5,2.0,10,1,7,0,1,2,5,3,10,2,0,661.5
68,3,1,1,1,1,3,1,1,1,0,0.0,6,0,7,2,2,2,3,1,1,4,1,609.7
69,3,2,6,4,10,10,1,1,2,7,0.0,1,1,8,0,1,2,6,2,6,2,1,656.5
70,4,3,10,10,10,10,3,3,1,9,3.0,8,3,8,0,0,2,5,6,10,2,0,739.5
71,3,5,4,0,2,3,0,5,1,8,2.0,10,0,4,0,0,2,5,1,10,2,1,657.5
72,0,4,0,2,2,3,1,0,2,1,0.0,4,0,4,0,10,1,1,0,0,3,1,528.8
73,4,3,10,8,10,10,4,5,2,10,2.0,7,5,6,10,1,2,10,1,3,4,0,694.7
74,5,1,10,4,2,2,0,1,1,10,1.0,4,0,8,10,2,2,4,5,10,4,1,662.2
75,5,2,3,1,10,10,3,5,1,8,2.0,5,2,7,1,0,2,5,2,10,2,1,704.7
76,5,2,10,1,4,5,0,5,1,8,2.0,10,1,8,0,6,2,10,1,6,3,1,694.0
78,3,3,8,10,5,7,3,4,1,8,4.0,10,5,8,0,1,1,10,3,7,2,1,709.3
79,0,5,0,2,0,0,3,0,2,0,1.0,1,10,6,10,10,1,2,1,10,2,0,538.8
80,1,1,2,2,1,3,4,0,1,2,2.0,8,10,8,0,1,2,1,1,10,1,0,654.5
81,5,1,6,4,10,4,5,1,2,10,1.0,1,10,8,0,3,2,0,3,10,4,1,680.3
83,3,4,8,7,5,7,8,2,2,7,2.0,3,4,6,6,5,2,10,0,4,2,1,651.4
84,5,2,10,5,5,10,5,2,1,9,4.0,2,10,8,0,0,2,7,5,5,2,1,724.7
85,5,2,3,6,10,10,5,2,2,5,2.0,6,0,6,1,0,2,8,2,5,4,1,677.5
86,4,4,8,2,10,10,6,5,2,6,5.0,7,8,6,10,0,2,10,3,7,4,1,696.4
87,2,4,10,6,4,5,3,1,1,8,1.0,2,2,8,0,1,1,10,6,4,3,1,658.4
88,5,0,8,3,10,7,6,3,1,10,4.0,8,5,8,0,1,2,10,5,10,3,1,749.7
90,3,4,4,7,4,4,10,5,2,6,1.0,9,8,6,0,9,2,7,1,10,3,1,676.4
91,3,4,1,4,2,5,2,2,2,1,1.0,9,0,6,7,10,2,2,0,10,2,1,594.8
92,5,3,8,1,10,10,8,5,1,9,5.0,10,10,8,2,0,2,8,5,10,2,1,758.6
93,3,4,3,1,4,3,4,0,1,5,0.0,7,1,6,1,7,2,10,1,10,2,0,640.3
94,3,2,2,3,8,10,2,1,1,8,1.0,8,8,7,2,2,2,2,1,7,3,0,678.1
95,2,3,10,4,10,10,3,1,2,8,3.0,4,3,6,0,1,2,10,1,7,3,0,678.8
96,1,5,0,1,1,3,4,1,2,1,0.0,1,0,10,10,6,2,3,0,1,3,1,551.5
97,5,5,2,2,10,8,1,0,1,9,2.0,10,3,6,3,3,1,4,2,1,2,1,639.2
98,1,3,10,6,10,10,8,4,1,9,6.0,7,5,7,5,1,2,7,5,3,2,1,718.7
99,1,3,10,6,7,10,7,3,1,9,4.0,5,5,7,4,2,2,7,3,3,2,1,697.9
100,2,3,6,3,5,5,5,3,1,5,3.0,4,4,7,0,1,2,5,4,4,4,1,670.5
101,4,3,8,10,10,10,2,1,1,4,3.0,3,10,7,7,6,1,5,2,6,3,1,666.9
102,5,4,3,10,4,8,6,2,2,4,0.0,8,5,6,0,5,1,4,2,3,2,0,638.8
103,5,4,10,3,10,8,0,5,2,3,1.0,5,2,6,0,3,1,4,5,6,2,1,651.8
104,3,2,2,3,2,3,4,1,1,8,3.0,10,1,9,8,2,1,4,2,9,2,0,639.8
105,3,2,3,8,8,5,3,5,1,5,1.0,6,10,7,0,6,2,2,2,7,3,1,687.9
106,2,3,6,10,3,4,0,1,2,1,2.0,2,0,7,9,1,2,1,0,2,2,1,593.6
107,3,4,10,8,8,3,1,1,1,6,1.0,5,0,8,10,7,1,10,1,3,2,1,626.7
108,2,2,5,1,0,10,10,1,1,7,3.0,3,3,6,1,1,1,10,1,7,2,0,658.2
109,1,2,0,4,1,1,1,0,1,8,0.0,1,0,7,0,3,1,5,5,7,4,1,605.3
110,3,2,3,6,5,9,6,4,2,5,4.0,1,5,6,3,2,1,10,2,2,3,1,645.9
111,2,2,3,6,3,2,5,3,1,4,3.0,6,2,8,2,0,2,5,5,6,2,0,669.4
112,1,3,2,5,1,2,1,0,1,2,1.0,10,0,7,0,0,1,0,0,7,2,1,605.4
113,3,2,9,7,7,5,3,4,2,9,2.0,5,10,6,0,3,2,5,2,8,4,1,690.9
114,5,2,10,7,4,3,5,2,1,7,7.0,1,9,9,8,3,2,10,5,10,1,1,709.4
116,3,5,0,3,2,10,0,0,2,10,1.0,10,10,6,0,4,1,0,3,10,2,1,627.3
117,2,5,0,10,3,2,4,1,1,5,2.0,4,0,8,0,10,2,10,3,10,4,1,643.5
118,2,1,1,0,0,6,2,0,1,5,2.0,8,2,7,2,3,2,5,4,4,2,0,637.3
119,1,2,6,8,4,5,2,1,1,5,1.0,9,5,10,0,3,2,1,2,4,2,1,665.3
121,5,2,10,5,6,5,8,3,1,7,3.0,10,2,9,5,5,2,8,3,10,2,0,714.6
122,5,3,0,6,5,10,2,1,1,9,3.0,9,2,5,2,6,1,3,5,3,2,1,649.0
123,5,2,10,4,4,10,4,3,1,9,2.0,10,1,7,0,3,2,9,1,10,3,1,717.6
124,5,4,10,3,10,10,8,4,1,8,2.0,10,10,7,0,0,2,10,2,8,3,0,748.2
125,3,5,0,7,2,5,1,2,1,3,1.0,9,0,7,0,8,2,6,0,10,3,1,637.5
126,2,3,0,7,2,5,2,3,1,3,2.0,9,0,4,0,3,1,5,1,7,2,1,628.4
127,3,4,3,5,0,5,2,1,1,3,4.0,3,4,5,0,3,2,2,4,5,1,0,634.2
128,5,4,3,7,4,4,3,3,1,2,0.0,3,0,9,1,5,2,5,3,8,2,0,653.7
129,1,3,3,5,6,2,10,0,1,8,2.0,10,0,8,10,0,1,10,4,10,2,0,656.6
130,2,0,0,10,2,5,2,0,1,10,1.0,1,0,10,0,0,2,1,7,10,3,1,670.5
131,1,2,2,1,3,7,1,1,2,2,1.0,1,0,8,5,0,2,0,0,4,3,1,588.5
132,2,3,9,3,2,8,3,1,1,8,3.0,6,5,8,0,10,2,10,1,8,3,1,672.8
133,5,4,10,3,3,10,4,4,1,7,2.0,10,3,6,3,2,2,6,3,5,2,0,695.3
134,2,3,2,5,6,5,1,1,2,6,1.0,2,1,6,0,5,1,5,1,1,3,0,591.7
135,3,2,10,5,1,10,2,0,2,8,3.0,5,0,9,0,7,2,3,1,8,2,1,649.0
136,5,3,4,10,6,10,4,5,2,8,4.0,7,10,7,5,1,2,10,2,5,4,1,708.5
137,1,1,4,6,6,4,6,0,1,9,4.0,3,2,6,0,1,2,10,2,4,1,1,673.5
138,0,4,1,1,8,3,1,1,1,1,1.0,4,3,5,0,8,2,1,0,4,2,1,595.3
139,3,4,4,6,10,10,0,3,2,4,1.0,10,5,7,5,4,2,10,6,5,4,1,671.7
140,3,4,3,4,2,3,3,4,1,0,1.0,10,3,5,2,7,2,0,2,3,1,1,625.4
141,5,1,9,6,2,7,5,1,1,7,6.0,7,4,10,0,1,2,1,3,7,1,0,705.7
142,5,2,9,10,8,10,6,3,1,10,5.0,9,5,9,0,3,2,10,6,5,3,0,753.5
143,5,1,7,4,2,10,5,0,1,8,8.0,8,2,10,0,1,2,1,5,7,1,0,707.6
144,5,0,9,4,4,8,1,0,1,9,7.0,10,2,10,0,0,2,3,5,5,1,0,713.1
145,5,2,5,4,7,1,3,5,2,9,1.0,7,10,6,1,1,2,4,8,4,4,1,687.9
146,2,3,7,4,10,8,10,5,1,5,5.0,2,10,6,0,3,2,10,6,10,4,1,729.4
147,5,3,10,10,5,5,10,3,2,8,2.0,5,2,7,10,9,2,5,3,7,4,1,665.6
148,1,2,4,3,1,2,0,1,2,2,0.0,2,3,8,0,2,1,4,0,1,2,0,576.8
149,2,5,5,6,2,4,6,0,2,3,1.0,5,5,6,10,10,2,10,3,3,3,1,602.5
150,3,4,10,5,8,4,3,5,1,5,4.0,7,0,6,10,2,2,5,2,7,3,1,669.2
151,2,2,2,6,4,4,5,5,1,6,2.0,4,4,7,0,3,2,8,4,6,3,1,680.7
152,5,5,5,5,10,10,3,4,1,4,5.0,4,0,9,0,3,2,3,9,5,3,1,694.7
153,3,4,2,2,10,3,1,5,2,3,4.0,1,0,9,7,0,2,3,0,0,3,1,612.5
154,4,3,10,6,4,7,1,1,1,7,2.0,5,1,7,1,3,2,6,2,10,3,0,679.2
155,2,3,5,3,0,10,3,1,1,7,6.0,3,2,8,5,1,2,10,6,10,2,0,677.3
156,5,1,3,8,10,10,3,1,1,10,6.0,6,10,7,0,0,2,4,1,10,3,1,730.4
157,3,5,6,3,6,4,3,2,1,10,4.0,2,1,8,0,2,1,10,4,7,3,1,658.4
158,5,3,10,4,10,2,5,5,1,9,1.0,4,10,6,0,1,2,7,2,6,3,1,714.5
159,5,5,5,5,6,10,0,0,1,0,4.0,6,5,6,10,8,1,10,1,3,1,1,619.7
160,4,3,4,7,4,5,2,0,1,8,2.0,6,5,7,0,3,2,7,3,5,2,1,672.6
161,3,3,0,2,3,3,0,3,2,8,0.0,3,0,8,0,3,2,2,0,1,3,1,602.5
162,4,3,1,7,10,4,2,5,1,8,2.0,5,3,7,4,0,2,9,1,7,4,1,689.4
163,3,2,2,10,6,6,4,5,2,8,10.0,2,3,7,4,2,2,10,4,3,4,0,683.7
165,1,5,0,1,6,4,4,3,1,9,6.0,4,3,6,6,1,2,6,0,1,4,1,632.9
166,1,1,5,5,3,7,5,1,1,5,2.0,5,1,8,0,3,2,10,1,4,2,0,665.8
167,5,3,10,10,10,6,6,4,2,10,7.0,6,10,6,0,1,2,5,6,7,4,1,733.6
168,5,2,3,10,10,10,2,2,1,8,2.0,10,2,8,0,1,2,3,2,7,4,1,711.0
169,1,3,1,2,2,1,2,0,2,2,0.0,3,0,10,10,4,1,2,0,10,2,0,558.7
170,4,3,5,10,10,10,5,2,1,10,9.0,10,10,8,0,4,2,7,10,5,4,1,753.5
171,3,2,2,3,2,5,4,3,1,6,3.0,3,0,7,2,4,1,8,4,4,2,1,636.3
172,3,3,3,8,4,1,2,4,2,4,1.0,2,2,9,10,4,1,7,1,6,2,1,604.2
173,1,4,4,6,10,7,2,3,2,2,5.0,2,2,5,4,1,1,8,1,5,4,0,620.4
174,3,4,5,5,10,6,3,3,1,7,1.0,10,1,5,7,5,2,0,0,3,2,1,645.8
175,3,4,10,1,4,1,3,1,2,6,2.0,9,1,6,10,2,1,4,1,2,2,0,594.8
176,2,3,2,10,1,10,7,2,2,10,5.0,10,4,6,10,1,2,6,5,8,2,0,674.9
177,5,3,8,5,8,10,5,5,2,10,5.0,10,5,6,0,2,2,4,4,7,4,1,715.7
178,2,1,2,2,0,1,1,3,2,1,2.0,1,1,6,0,10,2,5,0,10,4,0,596.6
179,5,1,9,4,2,4,6,1,1,4,3.0,2,3,8,3,3,2,10,3,7,1,0,680.5
181,3,2,10,8,8,8,0,0,1,10,5.0,10,6,7,0,0,2,7,1,7,3,1,715.9
182,3,3,6,5,8,2,2,0,2,5,2.0,10,0,7,0,2,2,5,1,3,4,1,639.4
183,5,1,7,3,0,9,5,2,1,5,3.0,7,10,8,0,2,2,2,1,9,2,1,698.5
184,0,1,10,9,8,10,1,1,1,2,1.0,2,1,8,2,4,1,8,0,1,2,0,639.7
185,4,4,5,4,10,4,4,5,1,5,3.0,5,8,7,0,1,2,5,10,10,4,1,714.9
186,2,2,8,4,4,5,3,3,1,3,2.0,9,1,7,10,4,2,7,2,8,2,1,657.9
187,4,2,4,6,1,10,1,1,2,5,6.0,3,2,8,0,1,2,4,1,10,4,1,658.6
188,5,1,6,10,10,5,3,5,1,10,6.0,6,3,8,10,0,2,10,4,10,4,1,732.3
189,5,2,5,3,3,10,10,2,2,10,1.0,4,2,7,0,1,2,10,10,10,4,1,706.2
190,3,4,6,7,6,6,1,5,2,9,1.0,9,1,5,0,7,2,4,0,0,2,1,642.2
191,5,2,10,3,4,5,4,3,1,4,5.0,7,5,9,3,3,2,8,2,9,4,1,702.1
192,2,3,10,10,10,8,5,2,1,5,3.0,6,0,7,0,1,1,10,5,10,2,1,699.8
193,4,2,0,2,10,10,0,5,1,7,6.0,5,0,7,10,2,1,5,8,8,4,0,665.6
194,3,3,6,9,8,5,4,3,2,7,7.0,1,4,10,3,3,2,3,6,7,1,1,677.3
195,5,2,5,8,10,10,5,3,1,7,5.0,10,5,7,0,5,2,10,4,4,3,1,729.5
196,0,3,4,5,4,5,4,5,1,2,2.0,1,1,6,0,5,1,5,1,10,2,1,628.9
197,2,5,1,4,4,4,0,1,1,2,0.0,1,0,8,0,4,1,2,1,3,2,1,583.4
198,0,4,0,4,0,3,2,0,2,5,3.0,1,1,8,5,1,2,3,5,9,2,0,597.0
199,5,4,8,10,7,3,4,2,1,6,0.0,8,4,7,5,6,2,10,3,3,2,1,679.8
200,2,4,2,0,9,8,0,2,1,2,2.0,4,2,9,0,8,1,4,4,10,3,0,628.4
201,2,4,2,10,5,5,3,5,2,2,2.0,1,0,5,0,5,2,10,0,2,3,0,627.0
202,2,1,10,8,10,5,0,5,1,7,8.0,7,0,8,0,2,2,10,10,10,2,0,739.3
203,4,4,8,10,10,7,8,3,2,8,4.0,10,2,8,0,10,2,7,7,7,3,1,704.2
204,1,4,3,6,5,7,5,5,1,4,1.0,1,6,7,0,3,1,10,2,10,1,1,661.4
205,5,4,8,10,7,3,4,2,1,6,0.0,8,4,7,5,6,2,10,3,3,2,1,679.8
206,2,4,4,8,4,4,0,0,2,8,3.0,4,3,6,6,7,2,5,1,8,3,0,615.9
207,4,4,10,5,7,7,7,3,1,8,7.0,8,10,8,0,2,2,10,4,9,4,1,741.2
208,3,1,10,3,10,3,3,3,2,7,2.0,10,1,8,0,1,1,5,5,10,3,0,677.0
210,4,4,5,5,3,10,4,0,2,9,1.0,3,4,7,3,3,2,10,1,2,4,0,644.8
211,1,1,3,4,10,10,4,3,1,8,7.0,10,10,6,0,2,2,5,5,10,2,0,727.6
213,3,4,1,1,10,1,3,3,2,7,2.0,3,0,6,5,0,1,10,1,3,3,1,608.9
214,3,1,5,9,10,10,5,3,1,9,6.0,2,3,7,0,1,2,10,6,10,2,1,734.7
215,1,4,6,10,6,2,2,3,1,2,2.0,3,0,10,0,1,1,10,1,8,2,1,650.5
216,5,0,10,9,8,6,4,2,1,6,6.0,8,4,9,1,1,2,10,3,10,2,0,743.1
217,3,1,7,10,10,10,10,2,2,8,10.0,5,4,9,10,1,2,10,5,10,4,1,725.5
218,5,1,10,7,7,10,7,0,1,8,10.0,8,3,6,0,0,2,10,5,10,2,0,749.3
219,3,4,8,5,4,10,6,5,2,8,7.0,10,8,6,0,3,2,7,5,3,3,1,703.8
220,4,5,1,4,5,10,4,5,1,5,3.0,8,1,6,5,5,2,5,2,5,4,1,660.9
221,4,2,10,10,10,4,6,3,1,5,6.0,2,3,7,0,1,1,5,5,10,3,0,702.4
222,2,5,2,2,10,10,3,1,2,4,4.0,5,2,10,10,3,2,10,2,7,3,0,639.0
224,1,3,7,4,4,2,3,2,2,4,0.0,1,1,9,0,1,2,2,0,1,2,0,609.1
225,5,0,10,3,10,5,0,0,2,0,0.0,9,1,4,0,10,2,2,4,10,4,0,645.4
226,4,2,8,5,4,9,5,3,1,6,2.0,7,4,8,0,10,2,9,3,3,3,1,688.3
228,4,1,8,9,3,4,6,4,1,6,2.0,4,2,9,0,1,2,6,3,4,2,1,698.1
229,5,5,3,5,3,2,4,3,1,3,3.0,8,0,6,8,7,1,4,3,5,2,1,615.0
230,4,2,8,8,8,7,8,2,1,9,5.0,9,7,7,7,2,2,6,5,10,3,1,727.6
231,4,1,2,10,7,8,10,4,2,6,8.0,5,10,7,7,1,2,10,3,10,3,1,720.0
232,5,3,4,10,10,10,10,5,2,6,6.0,10,10,7,7,2,2,4,4,10,3,1,727.8
233,5,0,10,10,10,10,6,5,2,10,6.0,8,2,8,0,1,2,10,3,10,4,1,754.8
234,1,4,2,4,3,4,3,1,2,6,4.0,3,5,6,0,0,2,4,1,5,3,0,624.2
235,4,2,4,4,3,6,7,3,1,8,1.0,7,5,8,0,6,2,4,1,4,3,1,676.4
236,3,4,0,1,0,0,0,3,1,3,0.0,2,1,7,3,2,1,2,0,1,2,0,573.2
237,2,5,0,1,10,0,0,1,2,0,5.0,1,2,5,10,0,2,10,0,1,4,1,581.1
238,5,3,5,2,3,5,2,1,1,6,1.0,3,4,7,10,7,2,2,2,5,3,1,624.4
239,3,1,6,5,4,7,4,1,1,5,3.0,6,3,8,10,2,2,4,5,7,2,1,667.7
240,4,2,1,3,6,3,8,2,2,4,4.0,6,4,8,0,1,2,4,5,8,2,0,667.7
241,5,2,10,10,10,5,10,5,1,6,4.0,6,2,8,0,1,2,10,6,10,2,1,754.4
242,4,3,5,9,4,10,7,3,1,6,4.0,6,1,6,0,2,2,10,3,7,3,1,706.4
243,5,5,8,4,3,9,3,1,1,1,2.0,8,1,5,6,0,2,4,1,3,4,0,645.4
244,1,3,1,3,1,5,1,1,2,3,3.0,1,3,5,4,3,2,4,8,2,3,1,598.1
245,2,2,4,8,1,3,0,3,1,3,1.0,7,2,7,10,5,2,5,0,4,2,0,625.2
246,5,1,10,10,10,10,10,5,1,7,5.0,3,1,7,10,1,2,10,2,5,2,0,728.1
247,4,3,2,2,10,8,1,5,1,4,0.0,2,1,7,0,1,2,7,0,7,4,1,668.4
248,2,3,9,3,2,8,3,1,1,8,3.0,6,5,8,0,10,2,10,1,8,3,1,672.8
249,5,4,6,10,10,10,2,2,2,7,5.0,8,10,6,0,3,2,10,6,3,4,1,710.2
250,1,2,3,2,0,6,1,5,1,3,2.0,3,0,7,10,0,2,0,4,10,1,0,629.5
251,2,3,0,10,7,10,1,4,1,5,10.0,8,5,6,0,3,2,5,2,4,3,1,693.2
252,4,4,7,5,10,10,4,4,2,3,1.0,6,3,7,10,10,2,3,2,5,2,0,638.6
253,4,3,6,10,7,10,7,3,2,6,6.0,7,10,8,0,2,2,10,4,10,3,0,729.1
254,2,3,4,3,1,3,2,1,1,2,8.0,4,1,6,5,4,1,8,1,2,4,0,607.4
255,4,4,2,5,8,10,1,4,1,8,2.0,9,2,7,0,1,2,7,1,2,2,0,685.1
256,2,5,3,5,2,10,4,1,1,5,6.0,5,0,8,5,1,2,3,3,10,2,1,655.6
257,2,1,4,2,10,2,2,2,2,9,2.0,5,1,8,0,2,2,5,5,10,3,1,664.1
258,2,2,3,8,6,3,5,5,1,4,1.0,3,1,8,0,1,2,7,1,5,2,1,672.2
259,1,2,5,6,8,7,3,3,2,7,2.0,2,3,7,0,1,2,5,5,7,4,0,665.0
260,2,2,6,10,10,7,10,2,2,4,4.0,4,1,6,4,1,2,10,5,7,3,1,687.3
261,5,1,2,3,0,5,1,2,1,9,5.0,4,5,8,10,5,2,4,3,3,4,1,646.9
262,4,4,10,6,10,2,8,1,1,8,1.0,8,3,8,5,5,2,7,1,5,4,0,681.7
263,4,1,10,8,10,8,8,3,1,10,2.0,10,2,7,0,1,2,6,5,7,4,0,741.4
264,3,1,5,4,10,10,10,4,2,9,6.0,10,5,8,8,0,2,10,7,5,2,1,722.9
265,3,4,0,6,0,4,7,0,1,2,2.0,8,2,9,6,10,2,2,0,9,1,1,620.7
266,3,4,0,4,0,3,0,0,1,3,0.0,8,2,8,7,10,2,1,0,5,1,1,589.9
267,5,1,6,5,3,10,5,0,1,10,3.0,5,10,7,0,2,2,10,2,10,2,0,720.0
268,3,3,5,1,3,1,1,1,2,1,0.0,5,0,8,10,7,2,3,1,3,2,1,575.7
269,5,1,8,10,6,10,2,0,1,3,6.0,5,0,6,5,0,2,5,0,7,4,1,684.1
