,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,ACHIEVEMENT
16,4,2,10,4,6,10,0,1,8,2.0,1,1,8,1,1,2,3,3,3,2,0,673.5,4
17,4,2,10,10,5,10,1,1,7,1.0,10,2,8,0,3,2,4,8,6,2,0,707.6,0
18,5,3,10,7,10,5,5,1,6,2.0,8,10,9,0,7,2,5,4,7,3,1,727.8,6
19,3,1,6,10,10,6,5,2,8,4.0,1,5,8,0,0,2,5,1,2,3,0,687.1,3
20,2,4,3,8,6,5,2,1,8,1.0,4,6,4,0,3,2,3,2,5,2,0,652.9,1
21,3,5,5,4,5,3,5,2,10,6.0,3,3,7,5,7,2,10,10,10,2,1,668.6,2
22,5,2,8,6,10,10,4,2,4,4.0,3,3,7,1,2,2,10,6,8,3,0,709.4,6
23,2,2,6,10,10,10,5,1,10,6.0,7,4,7,0,1,2,10,5,7,3,0,752.7,10
24,2,4,6,10,5,5,4,2,6,1.0,7,10,6,0,3,2,1,3,10,3,1,677.7,6
25,1,5,1,3,6,5,5,1,2,2.0,8,1,7,0,6,2,5,1,1,2,0,633.9,3
26,1,4,1,2,5,3,5,1,1,5.0,8,1,7,0,4,2,2,1,1,2,0,628.8,1
27,2,4,10,3,10,7,3,1,6,0.0,5,5,7,0,1,2,10,2,2,2,1,692.8,8
28,3,4,6,4,7,10,3,1,4,1.0,10,5,6,0,3,1,7,2,8,3,1,673.2,3
29,4,2,10,3,1,2,3,1,7,2.0,4,1,7,0,3,2,10,1,7,1,1,673.9,3
30,5,3,10,3,7,5,2,1,7,2.0,10,10,7,0,0,1,10,5,10,2,0,712.5,3
31,3,1,3,5,2,10,2,1,5,4.0,3,10,8,0,1,2,10,4,1,3,1,692.6,4
32,0,5,0,3,3,8,5,2,4,4.0,1,1,6,10,10,2,3,2,1,3,1,574.5,1
33,1,3,10,3,2,3,0,1,2,2.0,5,2,8,0,0,1,4,3,7,4,1,630.1,2
34,4,2,10,6,10,8,2,1,10,2.0,10,5,7,0,3,2,10,4,10,2,0,746.5,10
35,3,3,0,2,0,5,5,2,3,1.0,2,0,6,0,6,1,2,2,10,2,0,591.7,0
36,2,3,7,4,10,8,5,1,5,5.0,2,10,6,0,3,2,10,6,10,4,1,729.4,10
37,2,5,1,8,5,2,5,2,2,0.0,10,0,8,7,10,1,2,0,10,3,1,593.7,2
38,4,1,1,10,10,10,5,2,8,3.0,7,3,6,7,2,1,6,4,10,4,0,682.8,5
39,5,3,6,6,10,7,5,1,8,5.0,3,4,9,0,3,2,6,6,10,4,1,723.4,3
40,4,2,10,8,8,4,3,1,5,4.0,3,2,7,10,1,2,5,4,8,2,1,687.3,6
41,4,3,10,8,10,3,3,2,0,0.0,3,0,5,0,2,2,4,0,2,4,1,635.9,2
42,2,3,0,8,10,10,2,2,5,0.0,2,10,9,0,3,1,10,0,10,4,1,655.2,1
43,3,2,4,1,1,10,2,1,7,5.0,7,2,7,4,3,1,3,5,8,2,0,652.4,3
44,2,3,3,10,3,4,4,1,7,1.0,8,1,8,0,3,2,2,2,3,3,1,657.9,0
45,3,5,10,2,9,10,5,1,10,1.0,10,10,5,10,7,2,7,2,2,3,1,686.6,5
46,5,3,10,10,10,6,5,1,7,4.0,10,2,6,5,1,2,8,4,10,4,1,732.7,4
47,4,2,10,10,5,8,2,2,6,3.0,10,2,8,2,2,1,10,3,7,2,1,685.5,5
48,3,2,8,10,10,10,5,2,10,3.0,7,10,7,1,2,2,10,3,10,4,1,742.5,8
49,2,3,3,10,10,10,1,2,7,4.0,2,6,8,0,2,2,4,1,1,3,1,663.5,5
50,4,3,6,3,10,10,4,1,4,6.0,8,3,7,0,4,2,4,5,9,2,1,710.4,5
51,3,5,8,9,5,10,2,2,8,4.0,10,2,8,10,4,2,3,3,5,2,1,658.3,4
52,1,2,4,6,1,10,0,2,5,1.0,5,1,6,0,1,2,8,1,2,3,0,633.1,4
53,5,2,3,6,4,9,2,1,5,3.0,6,3,8,0,3,2,2,3,5,4,1,677.9,3
54,4,2,5,10,10,2,3,2,4,2.0,1,1,6,10,1,2,3,4,4,2,1,640.8,5
55,1,4,1,1,1,7,0,1,0,5.0,3,1,6,10,8,1,2,2,1,1,1,557.9,1
56,4,2,8,6,2,10,1,2,6,3.0,5,10,8,3,3,2,10,1,2,3,1,669.2,1
57,5,4,10,6,5,10,4,1,4,4.0,10,1,7,0,2,2,6,4,5,3,0,712.5,7
58,4,3,10,1,10,2,5,1,9,2.0,10,2,7,0,0,2,10,1,7,4,1,712.5,4
59,0,5,0,2,1,2,5,1,0,0.0,1,0,10,0,2,1,1,0,0,2,0,571.9,0
60,0,5,0,2,1,2,5,1,1,0.0,1,0,10,0,2,1,1,0,0,2,0,575.3,1
61,4,3,1,7,5,8,3,1,7,3.0,8,3,7,10,1,2,3,9,4,2,1,678.1,5
62,5,2,4,5,4,4,1,1,4,4.0,6,3,7,8,3,1,4,8,8,2,0,648.8,2
63,1,1,10,2,1,5,0,1,5,4.0,8,1,6,5,0,2,4,1,7,2,0,649.0,1
64,2,5,6,4,10,0,3,1,5,1.0,2,1,9,0,4,1,10,1,10,3,1,656.9,10
65,3,3,6,8,7,6,2,1,8,4.0,5,3,6,4,7,2,5,4,8,2,1,680.7,6
66,3,3,6,8,7,6,2,1,8,4.0,5,3,6,4,7,1,5,4,8,2,1,663.7,6
67,2,1,3,3,2,4,5,2,5,2.0,10,1,7,0,1,2,5,3,10,2,0,661.5,1
68,3,1,1,1,1,3,1,1,0,0.0,6,0,7,2,2,2,3,1,1,4,1,609.7,1
69,3,2,6,4,10,10,1,2,7,0.0,1,1,8,0,1,2,6,2,6,2,1,656.5,1
70,4,3,10,10,10,10,3,1,9,3.0,8,3,8,0,0,2,5,6,10,2,0,739.5,3
71,3,5,4,0,2,3,5,1,8,2.0,10,0,4,0,0,2,5,1,10,2,1,657.5,0
72,0,4,0,2,2,3,0,2,1,0.0,4,0,4,0,10,1,1,0,0,3,1,528.8,1
73,4,3,10,8,10,10,5,2,10,2.0,7,5,6,10,1,2,10,1,3,4,0,694.7,4
74,5,1,10,4,2,2,1,1,10,1.0,4,0,8,10,2,2,4,5,10,4,1,662.2,0
75,5,2,3,1,10,10,5,1,8,2.0,5,2,7,1,0,2,5,2,10,2,1,704.7,3
76,5,2,10,1,4,5,5,1,8,2.0,10,1,8,0,6,2,10,1,6,3,1,694.0,0
77,3,3,8,10,5,7,4,1,8,4.0,10,5,8,0,1,1,10,3,7,2,1,709.3,3
78,0,5,0,2,0,0,0,2,0,1.0,1,10,6,10,10,1,2,1,10,2,0,538.8,3
79,1,1,2,2,1,3,0,1,2,2.0,8,10,8,0,1,2,1,1,10,1,0,654.5,4
80,5,1,6,4,10,4,1,2,10,1.0,1,10,8,0,3,2,0,3,10,4,1,680.3,5
81,3,4,8,7,5,7,2,2,7,2.0,3,4,6,6,5,2,10,0,4,2,1,651.4,8
82,5,2,10,5,5,10,2,1,9,4.0,2,10,8,0,0,2,7,5,5,2,1,724.7,5
83,5,2,3,6,10,10,2,2,5,2.0,6,0,6,1,0,2,8,2,5,4,1,677.5,5
84,4,4,8,2,10,10,5,2,6,5.0,7,8,6,10,0,2,10,3,7,4,1,696.4,6
85,2,4,10,6,4,5,1,1,8,1.0,2,2,8,0,1,1,10,6,4,3,1,658.4,3
86,5,0,8,3,10,7,3,1,10,4.0,8,5,8,0,1,2,10,5,10,3,1,749.7,6
87,3,4,4,7,4,4,5,2,6,1.0,9,8,6,0,9,2,7,1,10,3,1,676.4,10
88,3,4,1,4,2,5,2,2,1,1.0,9,0,6,7,10,2,2,0,10,2,1,594.8,2
89,5,3,8,1,10,10,5,1,9,5.0,10,10,8,2,0,2,8,5,10,2,1,758.6,8
90,3,4,3,1,4,3,0,1,5,0.0,7,1,6,1,7,2,10,1,10,2,0,640.3,4
91,3,2,2,3,8,10,1,1,8,1.0,8,8,7,2,2,2,2,1,7,3,0,678.1,2
92,2,3,10,4,10,10,1,2,8,3.0,4,3,6,0,1,2,10,1,7,3,0,678.8,3
93,1,5,0,1,1,3,1,2,1,0.0,1,0,10,10,6,2,3,0,1,3,1,551.5,4
94,5,5,2,2,10,8,0,1,9,2.0,10,3,6,3,3,1,4,2,1,2,1,639.2,1
95,1,3,10,6,10,10,4,1,9,6.0,7,5,7,5,1,2,7,5,3,2,1,718.7,8
96,1,3,10,6,7,10,3,1,9,4.0,5,5,7,4,2,2,7,3,3,2,1,697.9,7
97,2,3,6,3,5,5,3,1,5,3.0,4,4,7,0,1,2,5,4,4,4,1,670.5,5
98,4,3,8,10,10,10,1,1,4,3.0,3,10,7,7,6,1,5,2,6,3,1,666.9,2
99,5,4,3,10,4,8,2,2,4,0.0,8,5,6,0,5,1,4,2,3,2,0,638.8,6
100,5,4,10,3,10,8,5,2,3,1.0,5,2,6,0,3,1,4,5,6,2,1,651.8,0
101,3,2,2,3,2,3,1,1,8,3.0,10,1,9,8,2,1,4,2,9,2,0,639.8,4
102,3,2,3,8,8,5,5,1,5,1.0,6,10,7,0,6,2,2,2,7,3,1,687.9,3
103,2,3,6,10,3,4,1,2,1,2.0,2,0,7,9,1,2,1,0,2,2,1,593.6,0
104,3,4,10,8,8,3,1,1,6,1.0,5,0,8,10,7,1,10,1,3,2,1,626.7,1
105,2,2,5,1,0,10,1,1,7,3.0,3,3,6,1,1,1,10,1,7,2,0,658.2,10
106,1,2,0,4,1,1,0,1,8,0.0,1,0,7,0,3,1,5,5,7,4,1,605.3,1
107,3,2,3,6,5,9,4,2,5,4.0,1,5,6,3,2,1,10,2,2,3,1,645.9,6
108,2,2,3,6,3,2,3,1,4,3.0,6,2,8,2,0,2,5,5,6,2,0,669.4,5
109,1,3,2,5,1,2,0,1,2,1.0,10,0,7,0,0,1,0,0,7,2,1,605.4,1
110,3,2,9,7,7,5,4,2,9,2.0,5,10,6,0,3,2,5,2,8,4,1,690.9,3
111,5,2,10,7,4,3,2,1,7,7.0,1,9,9,8,3,2,10,5,10,1,1,709.4,5
112,3,5,0,3,2,10,0,2,10,1.0,10,10,6,0,4,1,0,3,10,2,1,627.3,0
113,2,5,0,10,3,2,1,1,5,2.0,4,0,8,0,10,2,10,3,10,4,1,643.5,4
114,2,1,1,0,0,6,0,1,5,2.0,8,2,7,2,3,2,5,4,4,2,0,637.3,2
115,1,2,6,8,4,5,1,1,5,1.0,9,5,10,0,3,2,1,2,4,2,1,665.3,2
116,5,2,10,5,6,5,3,1,7,3.0,10,2,9,5,5,2,8,3,10,2,0,714.6,8
117,5,3,0,6,5,10,1,1,9,3.0,9,2,5,2,6,1,3,5,3,2,1,649.0,2
118,5,2,10,4,4,10,3,1,9,2.0,10,1,7,0,3,2,9,1,10,3,1,717.6,4
119,5,4,10,3,10,10,4,1,8,2.0,10,10,7,0,0,2,10,2,8,3,0,748.2,8
120,3,5,0,7,2,5,2,1,3,1.0,9,0,7,0,8,2,6,0,10,3,1,637.5,1
121,2,3,0,7,2,5,3,1,3,2.0,9,0,4,0,3,1,5,1,7,2,1,628.4,2
122,3,4,3,5,0,5,1,1,3,4.0,3,4,5,0,3,2,2,4,5,1,0,634.2,2
123,5,4,3,7,4,4,3,1,2,0.0,3,0,9,1,5,2,5,3,8,2,0,653.7,3
124,1,3,3,5,6,2,0,1,8,2.0,10,0,8,10,0,1,10,4,10,2,0,656.6,10
125,2,0,0,10,2,5,0,1,10,1.0,1,0,10,0,0,2,1,7,10,3,1,670.5,2
126,1,2,2,1,3,7,1,2,2,1.0,1,0,8,5,0,2,0,0,4,3,1,588.5,1
127,2,3,9,3,2,8,1,1,8,3.0,6,5,8,0,10,2,10,1,8,3,1,672.8,3
128,5,4,10,3,3,10,4,1,7,2.0,10,3,6,3,2,2,6,3,5,2,0,695.3,4
129,2,3,2,5,6,5,1,2,6,1.0,2,1,6,0,5,1,5,1,1,3,0,591.7,1
130,3,2,10,5,1,10,0,2,8,3.0,5,0,9,0,7,2,3,1,8,2,1,649.0,2
131,5,3,4,10,6,10,5,2,8,4.0,7,10,7,5,1,2,10,2,5,4,1,708.5,4
132,1,1,4,6,6,4,0,1,9,4.0,3,2,6,0,1,2,10,2,4,1,1,673.5,6
133,0,4,1,1,8,3,1,1,1,1.0,4,3,5,0,8,2,1,0,4,2,1,595.3,1
134,3,4,4,6,10,10,3,2,4,1.0,10,5,7,5,4,2,10,6,5,4,1,671.7,0
135,3,4,3,4,2,3,4,1,0,1.0,10,3,5,2,7,2,0,2,3,1,1,625.4,3
136,5,1,9,6,2,7,1,1,7,6.0,7,4,10,0,1,2,1,3,7,1,0,705.7,5
137,5,2,9,10,8,10,3,1,10,5.0,9,5,9,0,3,2,10,6,5,3,0,753.5,6
138,5,1,7,4,2,10,0,1,8,8.0,8,2,10,0,1,2,1,5,7,1,0,707.6,5
139,5,0,9,4,4,8,0,1,9,7.0,10,2,10,0,0,2,3,5,5,1,0,713.1,1
140,5,2,5,4,7,1,5,2,9,1.0,7,10,6,1,1,2,4,8,4,4,1,687.9,3
141,2,3,7,4,10,8,5,1,5,5.0,2,10,6,0,3,2,10,6,10,4,1,729.4,10
142,5,3,10,10,5,5,3,2,8,2.0,5,2,7,10,9,2,5,3,7,4,1,665.6,10
143,1,2,4,3,1,2,1,2,2,0.0,2,3,8,0,2,1,4,0,1,2,0,576.8,0
144,2,5,5,6,2,4,0,2,3,1.0,5,5,6,10,10,2,10,3,3,3,1,602.5,6
145,3,4,10,5,8,4,5,1,5,4.0,7,0,6,10,2,2,5,2,7,3,1,669.2,3
146,2,2,2,6,4,4,5,1,6,2.0,4,4,7,0,3,2,8,4,6,3,1,680.7,5
147,5,5,5,5,10,10,4,1,4,5.0,4,0,9,0,3,2,3,9,5,3,1,694.7,3
148,3,4,2,2,10,3,5,2,3,4.0,1,0,9,7,0,2,3,0,0,3,1,612.5,1
149,4,3,10,6,4,7,1,1,7,2.0,5,1,7,1,3,2,6,2,10,3,0,679.2,1
150,2,3,5,3,0,10,1,1,7,6.0,3,2,8,5,1,2,10,6,10,2,0,677.3,3
151,5,1,3,8,10,10,1,1,10,6.0,6,10,7,0,0,2,4,1,10,3,1,730.4,3
152,3,5,6,3,6,4,2,1,10,4.0,2,1,8,0,2,1,10,4,7,3,1,658.4,3
153,5,3,10,4,10,2,5,1,9,1.0,4,10,6,0,1,2,7,2,6,3,1,714.5,5
154,5,5,5,5,6,10,0,1,0,4.0,6,5,6,10,8,1,10,1,3,1,1,619.7,0
155,4,3,4,7,4,5,0,1,8,2.0,6,5,7,0,3,2,7,3,5,2,1,672.6,2
156,3,3,0,2,3,3,3,2,8,0.0,3,0,8,0,3,2,2,0,1,3,1,602.5,0
157,4,3,1,7,10,4,5,1,8,2.0,5,3,7,4,0,2,9,1,7,4,1,689.4,2
158,3,2,2,10,6,6,5,2,8,10.0,2,3,7,4,2,2,10,4,3,4,0,683.7,4
159,1,5,0,1,6,4,3,1,9,6.0,4,3,6,6,1,2,6,0,1,4,1,632.9,4
160,1,1,5,5,3,7,1,1,5,2.0,5,1,8,0,3,2,10,1,4,2,0,665.8,5
161,5,3,10,10,10,6,4,2,10,7.0,6,10,6,0,1,2,5,6,7,4,1,733.6,6
162,5,2,3,10,10,10,2,1,8,2.0,10,2,8,0,1,2,3,2,7,4,1,711.0,2
163,1,3,1,2,2,1,0,2,2,0.0,3,0,10,10,4,1,2,0,10,2,0,558.7,2
164,4,3,5,10,10,10,2,1,10,9.0,10,10,8,0,4,2,7,10,5,4,1,753.5,5
165,3,2,2,3,2,5,3,1,6,3.0,3,0,7,2,4,1,8,4,4,2,1,636.3,4
166,3,3,3,8,4,1,4,2,4,1.0,2,2,9,10,4,1,7,1,6,2,1,604.2,2
167,1,4,4,6,10,7,3,2,2,5.0,2,2,5,4,1,1,8,1,5,4,0,620.4,2
168,3,4,5,5,10,6,3,1,7,1.0,10,1,5,7,5,2,0,0,3,2,1,645.8,3
169,3,4,10,1,4,1,1,2,6,2.0,9,1,6,10,2,1,4,1,2,2,0,594.8,3
170,2,3,2,10,1,10,2,2,10,5.0,10,4,6,10,1,2,6,5,8,2,0,674.9,7
171,5,3,8,5,8,10,5,2,10,5.0,10,5,6,0,2,2,4,4,7,4,1,715.7,5
172,2,1,2,2,0,1,3,2,1,2.0,1,1,6,0,10,2,5,0,10,4,0,596.6,1
173,5,1,9,4,2,4,1,1,4,3.0,2,3,8,3,3,2,10,3,7,1,0,680.5,6
174,3,2,10,8,8,8,0,1,10,5.0,10,6,7,0,0,2,7,1,7,3,1,715.9,0
175,3,3,6,5,8,2,0,2,5,2.0,10,0,7,0,2,2,5,1,3,4,1,639.4,2
176,5,1,7,3,0,9,2,1,5,3.0,7,10,8,0,2,2,2,1,9,2,1,698.5,5
177,0,1,10,9,8,10,1,1,2,1.0,2,1,8,2,4,1,8,0,1,2,0,639.7,1
178,4,4,5,4,10,4,5,1,5,3.0,5,8,7,0,1,2,5,10,10,4,1,714.9,4
179,2,2,8,4,4,5,3,1,3,2.0,9,1,7,10,4,2,7,2,8,2,1,657.9,3
180,4,2,4,6,1,10,1,2,5,6.0,3,2,8,0,1,2,4,1,10,4,1,658.6,1
181,5,1,6,10,10,5,5,1,10,6.0,6,3,8,10,0,2,10,4,10,4,1,732.3,3
182,5,2,5,3,3,10,2,2,10,1.0,4,2,7,0,1,2,10,10,10,4,1,706.2,10
183,3,4,6,7,6,6,5,2,9,1.0,9,1,5,0,7,2,4,0,0,2,1,642.2,1
184,5,2,10,3,4,5,3,1,4,5.0,7,5,9,3,3,2,8,2,9,4,1,702.1,4
185,2,3,10,10,10,8,2,1,5,3.0,6,0,7,0,1,1,10,5,10,2,1,699.8,5
186,4,2,0,2,10,10,5,1,7,6.0,5,0,7,10,2,1,5,8,8,4,0,665.6,0
187,3,3,6,9,8,5,3,2,7,7.0,1,4,10,3,3,2,3,6,7,1,1,677.3,4
188,5,2,5,8,10,10,3,1,7,5.0,10,5,7,0,5,2,10,4,4,3,1,729.5,5
189,0,3,4,5,4,5,5,1,2,2.0,1,1,6,0,5,1,5,1,10,2,1,628.9,4
190,2,5,1,4,4,4,1,1,2,0.0,1,0,8,0,4,1,2,1,3,2,1,583.4,0
191,0,4,0,4,0,3,0,2,5,3.0,1,1,8,5,1,2,3,5,9,2,0,597.0,2
192,5,4,8,10,7,3,2,1,6,0.0,8,4,7,5,6,2,10,3,3,2,1,679.8,4
193,2,4,2,0,9,8,2,1,2,2.0,4,2,9,0,8,1,4,4,10,3,0,628.4,0
194,2,4,2,10,5,5,5,2,2,2.0,1,0,5,0,5,2,10,0,2,3,0,627.0,3
195,2,1,10,8,10,5,5,1,7,8.0,7,0,8,0,2,2,10,10,10,2,0,739.3,0
196,4,4,8,10,10,7,3,2,8,4.0,10,2,8,0,10,2,7,7,7,3,1,704.2,8
197,1,4,3,6,5,7,5,1,4,1.0,1,6,7,0,3,1,10,2,10,1,1,661.4,5
198,5,4,8,10,7,3,2,1,6,0.0,8,4,7,5,6,2,10,3,3,2,1,679.8,4
199,2,4,4,8,4,4,0,2,8,3.0,4,3,6,6,7,2,5,1,8,3,0,615.9,0
200,4,4,10,5,7,7,3,1,8,7.0,8,10,8,0,2,2,10,4,9,4,1,741.2,7
201,3,1,10,3,10,3,3,2,7,2.0,10,1,8,0,1,1,5,5,10,3,0,677.0,3
202,4,4,5,5,3,10,0,2,9,1.0,3,4,7,3,3,2,10,1,2,4,0,644.8,4
203,1,1,3,4,10,10,3,1,8,7.0,10,10,6,0,2,2,5,5,10,2,0,727.6,4
204,3,4,1,1,10,1,3,2,7,2.0,3,0,6,5,0,1,10,1,3,3,1,608.9,3
205,3,1,5,9,10,10,3,1,9,6.0,2,3,7,0,1,2,10,6,10,2,1,734.7,5
206,1,4,6,10,6,2,3,1,2,2.0,3,0,10,0,1,1,10,1,8,2,1,650.5,2
207,5,0,10,9,8,6,2,1,6,6.0,8,4,9,1,1,2,10,3,10,2,0,743.1,4
208,3,1,7,10,10,10,2,2,8,10.0,5,4,9,10,1,2,10,5,10,4,1,725.5,10
209,5,1,10,7,7,10,0,1,8,10.0,8,3,6,0,0,2,10,5,10,2,0,749.3,7
210,3,4,8,5,4,10,5,2,8,7.0,10,8,6,0,3,2,7,5,3,3,1,703.8,6
211,4,5,1,4,5,10,5,1,5,3.0,8,1,6,5,5,2,5,2,5,4,1,660.9,4
212,4,2,10,10,10,4,3,1,5,6.0,2,3,7,0,1,1,5,5,10,3,0,702.4,6
213,2,5,2,2,10,10,1,2,4,4.0,5,2,10,10,3,2,10,2,7,3,0,639.0,3
214,1,3,7,4,4,2,2,2,4,0.0,1,1,9,0,1,2,2,0,1,2,0,609.1,3
215,5,0,10,3,10,5,0,2,0,0.0,9,1,4,0,10,2,2,4,10,4,0,645.4,0
216,4,2,8,5,4,9,3,1,6,2.0,7,4,8,0,10,2,9,3,3,3,1,688.3,5
217,4,1,8,9,3,4,4,1,6,2.0,4,2,9,0,1,2,6,3,4,2,1,698.1,6
218,5,5,3,5,3,2,3,1,3,3.0,8,0,6,8,7,1,4,3,5,2,1,615.0,4
219,4,2,8,8,8,7,2,1,9,5.0,9,7,7,7,2,2,6,5,10,3,1,727.6,8
220,4,1,2,10,7,8,4,2,6,8.0,5,10,7,7,1,2,10,3,10,3,1,720.0,10
221,5,3,4,10,10,10,5,2,6,6.0,10,10,7,7,2,2,4,4,10,3,1,727.8,10
222,5,0,10,10,10,10,5,2,10,6.0,8,2,8,0,1,2,10,3,10,4,1,754.8,6
223,1,4,2,4,3,4,1,2,6,4.0,3,5,6,0,0,2,4,1,5,3,0,624.2,3
224,4,2,4,4,3,6,3,1,8,1.0,7,5,8,0,6,2,4,1,4,3,1,676.4,7
225,3,4,0,1,0,0,3,1,3,0.0,2,1,7,3,2,1,2,0,1,2,0,573.2,0
226,2,5,0,1,10,0,1,2,0,5.0,1,2,5,10,0,2,10,0,1,4,1,581.1,0
227,5,3,5,2,3,5,1,1,6,1.0,3,4,7,10,7,2,2,2,5,3,1,624.4,2
228,3,1,6,5,4,7,1,1,5,3.0,6,3,8,10,2,2,4,5,7,2,1,667.7,4
229,4,2,1,3,6,3,2,2,4,4.0,6,4,8,0,1,2,4,5,8,2,0,667.7,8
230,5,2,10,10,10,5,5,1,6,4.0,6,2,8,0,1,2,10,6,10,2,1,754.4,10
231,4,3,5,9,4,10,3,1,6,4.0,6,1,6,0,2,2,10,3,7,3,1,706.4,7
232,5,5,8,4,3,9,1,1,1,2.0,8,1,5,6,0,2,4,1,3,4,0,645.4,3
233,1,3,1,3,1,5,1,2,3,3.0,1,3,5,4,3,2,4,8,2,3,1,598.1,1
234,2,2,4,8,1,3,3,1,3,1.0,7,2,7,10,5,2,5,0,4,2,0,625.2,0
235,5,1,10,10,10,10,5,1,7,5.0,3,1,7,10,1,2,10,2,5,2,0,728.1,10
236,4,3,2,2,10,8,5,1,4,0.0,2,1,7,0,1,2,7,0,7,4,1,668.4,1
237,2,3,9,3,2,8,1,1,8,3.0,6,5,8,0,10,2,10,1,8,3,1,672.8,3
238,5,4,6,10,10,10,2,2,7,5.0,8,10,6,0,3,2,10,6,3,4,1,710.2,2
239,1,2,3,2,0,6,5,1,3,2.0,3,0,7,10,0,2,0,4,10,1,0,629.5,1
240,2,3,0,10,7,10,4,1,5,10.0,8,5,6,0,3,2,5,2,4,3,1,693.2,1
241,4,4,7,5,10,10,4,2,3,1.0,6,3,7,10,10,2,3,2,5,2,0,638.6,4
242,4,3,6,10,7,10,3,2,6,6.0,7,10,8,0,2,2,10,4,10,3,0,729.1,7
243,2,3,4,3,1,3,1,1,2,8.0,4,1,6,5,4,1,8,1,2,4,0,607.4,2
244,4,4,2,5,8,10,4,1,8,2.0,9,2,7,0,1,2,7,1,2,2,0,685.1,1
245,2,5,3,5,2,10,1,1,5,6.0,5,0,8,5,1,2,3,3,10,2,1,655.6,4
246,2,1,4,2,10,2,2,2,9,2.0,5,1,8,0,2,2,5,5,10,3,1,664.1,2
247,2,2,3,8,6,3,5,1,4,1.0,3,1,8,0,1,2,7,1,5,2,1,672.2,5
248,1,2,5,6,8,7,3,2,7,2.0,2,3,7,0,1,2,5,5,7,4,0,665.0,3
249,2,2,6,10,10,7,2,2,4,4.0,4,1,6,4,1,2,10,5,7,3,1,687.3,10
250,5,1,2,3,0,5,2,1,9,5.0,4,5,8,10,5,2,4,3,3,4,1,646.9,1
251,4,4,10,6,10,2,1,1,8,1.0,8,3,8,5,5,2,7,1,5,4,0,681.7,8
252,4,1,10,8,10,8,3,1,10,2.0,10,2,7,0,1,2,6,5,7,4,0,741.4,8
253,3,1,5,4,10,10,4,2,9,6.0,10,5,8,8,0,2,10,7,5,2,1,722.9,10
254,3,4,0,6,0,4,0,1,2,2.0,8,2,9,6,10,2,2,0,9,1,1,620.7,7
255,3,4,0,4,0,3,0,1,3,0.0,8,2,8,7,10,2,1,0,5,1,1,589.9,0
256,5,1,6,5,3,10,0,1,10,3.0,5,10,7,0,2,2,10,2,10,2,0,720.0,5
257,3,3,5,1,3,1,1,2,1,0.0,5,0,8,10,7,2,3,1,3,2,1,575.7,1
258,5,1,8,10,6,10,0,1,3,6.0,5,0,6,5,0,2,5,0,7,4,1,684.1,2
