,FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,DAILY_STRESS
27,2,10,3,10,7,8,3,1,6,0.0,5,5,7,0,1,2,10,2,2,2,1,692.8,4
28,3,6,4,7,10,3,3,1,4,1.0,10,5,6,0,3,1,7,2,8,3,1,673.2,4
29,4,10,3,1,2,3,3,1,7,2.0,4,1,7,0,3,2,10,1,7,1,1,673.9,2
30,5,10,3,7,5,3,2,1,7,2.0,10,10,7,0,0,1,10,5,10,2,0,712.5,3
31,3,3,5,2,10,4,2,1,5,4.0,3,10,8,0,1,2,10,4,1,3,1,692.6,1
32,0,0,3,3,8,1,5,2,4,4.0,1,1,6,10,10,2,3,2,1,3,1,574.5,5
33,1,10,3,2,3,2,0,1,2,2.0,5,2,8,0,0,1,4,3,7,4,1,630.1,3
34,4,10,6,10,8,10,2,1,10,2.0,10,5,7,0,3,2,10,4,10,2,0,746.5,2
35,3,0,2,0,5,0,5,2,3,1.0,2,0,6,0,6,1,2,2,10,2,0,591.7,3
36,2,7,4,10,8,10,5,1,5,5.0,2,10,6,0,3,2,10,6,10,4,1,729.4,3
37,2,1,8,5,2,2,5,2,2,0.0,10,0,8,7,10,1,2,0,10,3,1,593.7,5
38,4,1,10,10,10,5,5,2,8,3.0,7,3,6,7,2,1,6,4,10,4,0,682.8,1
39,5,6,6,10,7,3,5,1,8,5.0,3,4,9,0,3,2,6,6,10,4,1,723.4,3
40,4,10,8,8,4,6,3,1,5,4.0,3,2,7,10,1,2,5,4,8,2,1,687.3,2
41,4,10,8,10,3,2,3,2,0,0.0,3,0,5,0,2,2,4,0,2,4,1,635.9,3
42,2,0,8,10,10,1,2,2,5,0.0,2,10,9,0,3,1,10,0,10,4,1,655.2,3
43,3,4,1,1,10,3,2,1,7,5.0,7,2,7,4,3,1,3,5,8,2,0,652.4,2
44,2,3,10,3,4,0,4,1,7,1.0,8,1,8,0,3,2,2,2,3,3,1,657.9,3
45,3,10,2,9,10,5,5,1,10,1.0,10,10,5,10,7,2,7,2,2,3,1,686.6,5
46,5,10,10,10,6,4,5,1,7,4.0,10,2,6,5,1,2,8,4,10,4,1,732.7,3
47,4,10,10,5,8,5,2,2,6,3.0,10,2,8,2,2,1,10,3,7,2,1,685.5,2
48,3,8,10,10,10,8,5,2,10,3.0,7,10,7,1,2,2,10,3,10,4,1,742.5,2
49,2,3,10,10,10,5,1,2,7,4.0,2,6,8,0,2,2,4,1,1,3,1,663.5,3
50,4,6,3,10,10,5,4,1,4,6.0,8,3,7,0,4,2,4,5,9,2,1,710.4,3
51,3,8,9,5,10,4,2,2,8,4.0,10,2,8,10,4,2,3,3,5,2,1,658.3,5
52,1,4,6,1,10,4,0,2,5,1.0,5,1,6,0,1,2,8,1,2,3,0,633.1,2
53,5,3,6,4,9,3,2,1,5,3.0,6,3,8,0,3,2,2,3,5,4,1,677.9,2
54,4,5,10,10,2,5,3,2,4,2.0,1,1,6,10,1,2,3,4,4,2,1,640.8,2
55,1,1,1,1,7,1,0,1,0,5.0,3,1,6,10,8,1,2,2,1,1,1,557.9,4
56,4,8,6,2,10,1,1,2,6,3.0,5,10,8,3,3,2,10,1,2,3,1,669.2,2
57,5,10,6,5,10,7,4,1,4,4.0,10,1,7,0,2,2,6,4,5,3,0,712.5,4
58,4,10,1,10,2,4,5,1,9,2.0,10,2,7,0,0,2,10,1,7,4,1,712.5,3
59,0,0,2,1,2,0,5,1,0,0.0,1,0,10,0,2,1,1,0,0,2,0,571.9,5
60,0,0,2,1,2,1,5,1,1,0.0,1,0,10,0,2,1,1,0,0,2,0,575.3,5
61,4,1,7,5,8,5,3,1,7,3.0,8,3,7,10,1,2,3,9,4,2,1,678.1,3
62,5,4,5,4,4,2,1,1,4,4.0,6,3,7,8,3,1,4,8,8,2,0,648.8,2
63,1,10,2,1,5,1,0,1,5,4.0,8,1,6,5,0,2,4,1,7,2,0,649.0,1
64,2,6,4,10,0,10,3,1,5,1.0,2,1,9,0,4,1,10,1,10,3,1,656.9,5
65,3,6,8,7,6,6,2,1,8,4.0,5,3,6,4,7,2,5,4,8,2,1,680.7,3
66,3,6,8,7,6,6,2,1,8,4.0,5,3,6,4,7,1,5,4,8,2,1,663.7,3
67,2,3,3,2,4,1,5,2,5,2.0,10,1,7,0,1,2,5,3,10,2,0,661.5,1
68,3,1,1,1,3,1,1,1,0,0.0,6,0,7,2,2,2,3,1,1,4,1,609.7,1
69,3,6,4,10,10,1,1,2,7,0.0,1,1,8,0,1,2,6,2,6,2,1,656.5,2
70,4,10,10,10,10,3,3,1,9,3.0,8,3,8,0,0,2,5,6,10,2,0,739.5,3
71,3,4,0,2,3,0,5,1,8,2.0,10,0,4,0,0,2,5,1,10,2,1,657.5,5
72,0,0,2,2,3,1,0,2,1,0.0,4,0,4,0,10,1,1,0,0,3,1,528.8,4
73,4,10,8,10,10,4,5,2,10,2.0,7,5,6,10,1,2,10,1,3,4,0,694.7,3
74,5,10,4,2,2,0,1,1,10,1.0,4,0,8,10,2,2,4,5,10,4,1,662.2,1
75,5,3,1,10,10,3,5,1,8,2.0,5,2,7,1,0,2,5,2,10,2,1,704.7,2
76,5,10,1,4,5,0,5,1,8,2.0,10,1,8,0,6,2,10,1,6,3,1,694.0,2
77,3,8,10,5,7,3,4,1,8,4.0,10,5,8,0,1,1,10,3,7,2,1,709.3,3
78,0,0,2,0,0,3,0,2,0,1.0,1,10,6,10,10,1,2,1,10,2,0,538.8,5
79,1,2,2,1,3,4,0,1,2,2.0,8,10,8,0,1,2,1,1,10,1,0,654.5,1
80,5,6,4,10,4,5,1,2,10,1.0,1,10,8,0,3,2,0,3,10,4,1,680.3,1
81,3,8,7,5,7,8,2,2,7,2.0,3,4,6,6,5,2,10,0,4,2,1,651.4,4
82,5,10,5,5,10,5,2,1,9,4.0,2,10,8,0,0,2,7,5,5,2,1,724.7,2
83,5,3,6,10,10,5,2,2,5,2.0,6,0,6,1,0,2,8,2,5,4,1,677.5,2
84,4,8,2,10,10,6,5,2,6,5.0,7,8,6,10,0,2,10,3,7,4,1,696.4,4
85,2,10,6,4,5,3,1,1,8,1.0,2,2,8,0,1,1,10,6,4,3,1,658.4,4
86,5,8,3,10,7,6,3,1,10,4.0,8,5,8,0,1,2,10,5,10,3,1,749.7,0
87,3,4,7,4,4,10,5,2,6,1.0,9,8,6,0,9,2,7,1,10,3,1,676.4,4
88,3,1,4,2,5,2,2,2,1,1.0,9,0,6,7,10,2,2,0,10,2,1,594.8,4
89,5,8,1,10,10,8,5,1,9,5.0,10,10,8,2,0,2,8,5,10,2,1,758.6,3
90,3,3,1,4,3,4,0,1,5,0.0,7,1,6,1,7,2,10,1,10,2,0,640.3,4
91,3,2,3,8,10,2,1,1,8,1.0,8,8,7,2,2,2,2,1,7,3,0,678.1,2
92,2,10,4,10,10,3,1,2,8,3.0,4,3,6,0,1,2,10,1,7,3,0,678.8,3
93,1,0,1,1,3,4,1,2,1,0.0,1,0,10,10,6,2,3,0,1,3,1,551.5,5
94,5,2,2,10,8,1,0,1,9,2.0,10,3,6,3,3,1,4,2,1,2,1,639.2,5
95,1,10,6,10,10,8,4,1,9,6.0,7,5,7,5,1,2,7,5,3,2,1,718.7,3
96,1,10,6,7,10,7,3,1,9,4.0,5,5,7,4,2,2,7,3,3,2,1,697.9,3
97,2,6,3,5,5,5,3,1,5,3.0,4,4,7,0,1,2,5,4,4,4,1,670.5,3
98,4,8,10,10,10,2,1,1,4,3.0,3,10,7,7,6,1,5,2,6,3,1,666.9,3
99,5,3,10,4,8,6,2,2,4,0.0,8,5,6,0,5,1,4,2,3,2,0,638.8,4
100,5,10,3,10,8,0,5,2,3,1.0,5,2,6,0,3,1,4,5,6,2,1,651.8,4
101,3,2,3,2,3,4,1,1,8,3.0,10,1,9,8,2,1,4,2,9,2,0,639.8,2
102,3,3,8,8,5,3,5,1,5,1.0,6,10,7,0,6,2,2,2,7,3,1,687.9,2
103,2,6,10,3,4,0,1,2,1,2.0,2,0,7,9,1,2,1,0,2,2,1,593.6,3
104,3,10,8,8,3,1,1,1,6,1.0,5,0,8,10,7,1,10,1,3,2,1,626.7,4
105,2,5,1,0,10,10,1,1,7,3.0,3,3,6,1,1,1,10,1,7,2,0,658.2,2
106,1,0,4,1,1,1,0,1,8,0.0,1,0,7,0,3,1,5,5,7,4,1,605.3,2
107,3,3,6,5,9,6,4,2,5,4.0,1,5,6,3,2,1,10,2,2,3,1,645.9,2
108,2,3,6,3,2,5,3,1,4,3.0,6,2,8,2,0,2,5,5,6,2,0,669.4,2
109,1,2,5,1,2,1,0,1,2,1.0,10,0,7,0,0,1,0,0,7,2,1,605.4,3
110,3,9,7,7,5,3,4,2,9,2.0,5,10,6,0,3,2,5,2,8,4,1,690.9,2
111,5,10,7,4,3,5,2,1,7,7.0,1,9,9,8,3,2,10,5,10,1,1,709.4,2
112,3,0,3,2,10,0,0,2,10,1.0,10,10,6,0,4,1,0,3,10,2,1,627.3,5
113,2,0,10,3,2,4,1,1,5,2.0,4,0,8,0,10,2,10,3,10,4,1,643.5,5
114,2,1,0,0,6,2,0,1,5,2.0,8,2,7,2,3,2,5,4,4,2,0,637.3,1
115,1,6,8,4,5,2,1,1,5,1.0,9,5,10,0,3,2,1,2,4,2,1,665.3,2
116,5,10,5,6,5,8,3,1,7,3.0,10,2,9,5,5,2,8,3,10,2,0,714.6,2
117,5,0,6,5,10,2,1,1,9,3.0,9,2,5,2,6,1,3,5,3,2,1,649.0,3
118,5,10,4,4,10,4,3,1,9,2.0,10,1,7,0,3,2,9,1,10,3,1,717.6,2
119,5,10,3,10,10,8,4,1,8,2.0,10,10,7,0,0,2,10,2,8,3,0,748.2,4
120,3,0,7,2,5,1,2,1,3,1.0,9,0,7,0,8,2,6,0,10,3,1,637.5,5
121,2,0,7,2,5,2,3,1,3,2.0,9,0,4,0,3,1,5,1,7,2,1,628.4,3
122,3,3,5,0,5,2,1,1,3,4.0,3,4,5,0,3,2,2,4,5,1,0,634.2,4
123,5,3,7,4,4,3,3,1,2,0.0,3,0,9,1,5,2,5,3,8,2,0,653.7,4
124,1,3,5,6,2,10,0,1,8,2.0,10,0,8,10,0,1,10,4,10,2,0,656.6,3
125,2,0,10,2,5,2,0,1,10,1.0,1,0,10,0,0,2,1,7,10,3,1,670.5,0
126,1,2,1,3,7,1,1,2,2,1.0,1,0,8,5,0,2,0,0,4,3,1,588.5,2
127,2,9,3,2,8,3,1,1,8,3.0,6,5,8,0,10,2,10,1,8,3,1,672.8,3
128,5,10,3,3,10,4,4,1,7,2.0,10,3,6,3,2,2,6,3,5,2,0,695.3,4
129,2,2,5,6,5,1,1,2,6,1.0,2,1,6,0,5,1,5,1,1,3,0,591.7,3
130,3,10,5,1,10,2,0,2,8,3.0,5,0,9,0,7,2,3,1,8,2,1,649.0,2
131,5,4,10,6,10,4,5,2,8,4.0,7,10,7,5,1,2,10,2,5,4,1,708.5,3
132,1,4,6,6,4,6,0,1,9,4.0,3,2,6,0,1,2,10,2,4,1,1,673.5,1
133,0,1,1,8,3,1,1,1,1,1.0,4,3,5,0,8,2,1,0,4,2,1,595.3,4
134,3,4,6,10,10,0,3,2,4,1.0,10,5,7,5,4,2,10,6,5,4,1,671.7,4
135,3,3,4,2,3,3,4,1,0,1.0,10,3,5,2,7,2,0,2,3,1,1,625.4,4
136,5,9,6,2,7,5,1,1,7,6.0,7,4,10,0,1,2,1,3,7,1,0,705.7,1
137,5,9,10,8,10,6,3,1,10,5.0,9,5,9,0,3,2,10,6,5,3,0,753.5,2
138,5,7,4,2,10,5,0,1,8,8.0,8,2,10,0,1,2,1,5,7,1,0,707.6,1
139,5,9,4,4,8,1,0,1,9,7.0,10,2,10,0,0,2,3,5,5,1,0,713.1,0
140,5,5,4,7,1,3,5,2,9,1.0,7,10,6,1,1,2,4,8,4,4,1,687.9,2
141,2,7,4,10,8,10,5,1,5,5.0,2,10,6,0,3,2,10,6,10,4,1,729.4,3
142,5,10,10,5,5,10,3,2,8,2.0,5,2,7,10,9,2,5,3,7,4,1,665.6,3
143,1,4,3,1,2,0,1,2,2,0.0,2,3,8,0,2,1,4,0,1,2,0,576.8,2
144,2,5,6,2,4,6,0,2,3,1.0,5,5,6,10,10,2,10,3,3,3,1,602.5,5
145,3,10,5,8,4,3,5,1,5,4.0,7,0,6,10,2,2,5,2,7,3,1,669.2,4
146,2,2,6,4,4,5,5,1,6,2.0,4,4,7,0,3,2,8,4,6,3,1,680.7,2
147,5,5,5,10,10,3,4,1,4,5.0,4,0,9,0,3,2,3,9,5,3,1,694.7,5
148,3,2,2,10,3,1,5,2,3,4.0,1,0,9,7,0,2,3,0,0,3,1,612.5,4
149,4,10,6,4,7,1,1,1,7,2.0,5,1,7,1,3,2,6,2,10,3,0,679.2,3
150,2,5,3,0,10,3,1,1,7,6.0,3,2,8,5,1,2,10,6,10,2,0,677.3,3
151,5,3,8,10,10,3,1,1,10,6.0,6,10,7,0,0,2,4,1,10,3,1,730.4,1
152,3,6,3,6,4,3,2,1,10,4.0,2,1,8,0,2,1,10,4,7,3,1,658.4,5
153,5,10,4,10,2,5,5,1,9,1.0,4,10,6,0,1,2,7,2,6,3,1,714.5,3
154,5,5,5,6,10,0,0,1,0,4.0,6,5,6,10,8,1,10,1,3,1,1,619.7,5
155,4,4,7,4,5,2,0,1,8,2.0,6,5,7,0,3,2,7,3,5,2,1,672.6,3
156,3,0,2,3,3,0,3,2,8,0.0,3,0,8,0,3,2,2,0,1,3,1,602.5,3
157,4,1,7,10,4,2,5,1,8,2.0,5,3,7,4,0,2,9,1,7,4,1,689.4,3
158,3,2,10,6,6,4,5,2,8,10.0,2,3,7,4,2,2,10,4,3,4,0,683.7,2
159,1,0,1,6,4,4,3,1,9,6.0,4,3,6,6,1,2,6,0,1,4,1,632.9,5
160,1,5,5,3,7,5,1,1,5,2.0,5,1,8,0,3,2,10,1,4,2,0,665.8,1
161,5,10,10,10,6,6,4,2,10,7.0,6,10,6,0,1,2,5,6,7,4,1,733.6,3
162,5,3,10,10,10,2,2,1,8,2.0,10,2,8,0,1,2,3,2,7,4,1,711.0,2
163,1,1,2,2,1,2,0,2,2,0.0,3,0,10,10,4,1,2,0,10,2,0,558.7,3
164,4,5,10,10,10,5,2,1,10,9.0,10,10,8,0,4,2,7,10,5,4,1,753.5,3
165,3,2,3,2,5,4,3,1,6,3.0,3,0,7,2,4,1,8,4,4,2,1,636.3,2
166,3,3,8,4,1,2,4,2,4,1.0,2,2,9,10,4,1,7,1,6,2,1,604.2,3
167,1,4,6,10,7,2,3,2,2,5.0,2,2,5,4,1,1,8,1,5,4,0,620.4,4
168,3,5,5,10,6,3,3,1,7,1.0,10,1,5,7,5,2,0,0,3,2,1,645.8,4
169,3,10,1,4,1,3,1,2,6,2.0,9,1,6,10,2,1,4,1,2,2,0,594.8,4
170,2,2,10,1,10,7,2,2,10,5.0,10,4,6,10,1,2,6,5,8,2,0,674.9,3
171,5,8,5,8,10,5,5,2,10,5.0,10,5,6,0,2,2,4,4,7,4,1,715.7,3
172,2,2,2,0,1,1,3,2,1,2.0,1,1,6,0,10,2,5,0,10,4,0,596.6,1
173,5,9,4,2,4,6,1,1,4,3.0,2,3,8,3,3,2,10,3,7,1,0,680.5,1
174,3,10,8,8,8,0,0,1,10,5.0,10,6,7,0,0,2,7,1,7,3,1,715.9,2
175,3,6,5,8,2,2,0,2,5,2.0,10,0,7,0,2,2,5,1,3,4,1,639.4,3
176,5,7,3,0,9,5,2,1,5,3.0,7,10,8,0,2,2,2,1,9,2,1,698.5,1
177,0,10,9,8,10,1,1,1,2,1.0,2,1,8,2,4,1,8,0,1,2,0,639.7,1
178,4,5,4,10,4,4,5,1,5,3.0,5,8,7,0,1,2,5,10,10,4,1,714.9,4
179,2,8,4,4,5,3,3,1,3,2.0,9,1,7,10,4,2,7,2,8,2,1,657.9,2
180,4,4,6,1,10,1,1,2,5,6.0,3,2,8,0,1,2,4,1,10,4,1,658.6,2
181,5,6,10,10,5,3,5,1,10,6.0,6,3,8,10,0,2,10,4,10,4,1,732.3,1
182,5,5,3,3,10,10,2,2,10,1.0,4,2,7,0,1,2,10,10,10,4,1,706.2,2
183,3,6,7,6,6,1,5,2,9,1.0,9,1,5,0,7,2,4,0,0,2,1,642.2,4
184,5,10,3,4,5,4,3,1,4,5.0,7,5,9,3,3,2,8,2,9,4,1,702.1,2
185,2,10,10,10,8,5,2,1,5,3.0,6,0,7,0,1,1,10,5,10,2,1,699.8,3
186,4,0,2,10,10,0,5,1,7,6.0,5,0,7,10,2,1,5,8,8,4,0,665.6,2
187,3,6,9,8,5,4,3,2,7,7.0,1,4,10,3,3,2,3,6,7,1,1,677.3,3
188,5,5,8,10,10,5,3,1,7,5.0,10,5,7,0,5,2,10,4,4,3,1,729.5,2
189,0,4,5,4,5,4,5,1,2,2.0,1,1,6,0,5,1,5,1,10,2,1,628.9,3
190,2,1,4,4,4,0,1,1,2,0.0,1,0,8,0,4,1,2,1,3,2,1,583.4,5
191,0,0,4,0,3,2,0,2,5,3.0,1,1,8,5,1,2,3,5,9,2,0,597.0,4
192,5,8,10,7,3,4,2,1,6,0.0,8,4,7,5,6,2,10,3,3,2,1,679.8,4
193,2,2,0,9,8,0,2,1,2,2.0,4,2,9,0,8,1,4,4,10,3,0,628.4,4
194,2,2,10,5,5,3,5,2,2,2.0,1,0,5,0,5,2,10,0,2,3,0,627.0,4
195,2,10,8,10,5,0,5,1,7,8.0,7,0,8,0,2,2,10,10,10,2,0,739.3,1
196,4,8,10,10,7,8,3,2,8,4.0,10,2,8,0,10,2,7,7,7,3,1,704.2,4
197,1,3,6,5,7,5,5,1,4,1.0,1,6,7,0,3,1,10,2,10,1,1,661.4,4
198,5,8,10,7,3,4,2,1,6,0.0,8,4,7,5,6,2,10,3,3,2,1,679.8,4
199,2,4,8,4,4,0,0,2,8,3.0,4,3,6,6,7,2,5,1,8,3,0,615.9,4
200,4,10,5,7,7,7,3,1,8,7.0,8,10,8,0,2,2,10,4,9,4,1,741.2,4
201,3,10,3,10,3,3,3,2,7,2.0,10,1,8,0,1,1,5,5,10,3,0,677.0,1
202,4,5,5,3,10,4,0,2,9,1.0,3,4,7,3,3,2,10,1,2,4,0,644.8,4
203,1,3,4,10,10,4,3,1,8,7.0,10,10,6,0,2,2,5,5,10,2,0,727.6,1
204,3,1,1,10,1,3,3,2,7,2.0,3,0,6,5,0,1,10,1,3,3,1,608.9,4
205,3,5,9,10,10,5,3,1,9,6.0,2,3,7,0,1,2,10,6,10,2,1,734.7,1
206,1,6,10,6,2,2,3,1,2,2.0,3,0,10,0,1,1,10,1,8,2,1,650.5,4
207,5,10,9,8,6,4,2,1,6,6.0,8,4,9,1,1,2,10,3,10,2,0,743.1,0
208,3,7,10,10,10,10,2,2,8,10.0,5,4,9,10,1,2,10,5,10,4,1,725.5,1
209,5,10,7,7,10,7,0,1,8,10.0,8,3,6,0,0,2,10,5,10,2,0,749.3,1
210,3,8,5,4,10,6,5,2,8,7.0,10,8,6,0,3,2,7,5,3,3,1,703.8,4
211,4,1,4,5,10,4,5,1,5,3.0,8,1,6,5,5,2,5,2,5,4,1,660.9,5
212,4,10,10,10,4,6,3,1,5,6.0,2,3,7,0,1,1,5,5,10,3,0,702.4,2
213,2,2,2,10,10,3,1,2,4,4.0,5,2,10,10,3,2,10,2,7,3,0,639.0,5
214,1,7,4,4,2,3,2,2,4,0.0,1,1,9,0,1,2,2,0,1,2,0,609.1,3
215,5,10,3,10,5,0,0,2,0,0.0,9,1,4,0,10,2,2,4,10,4,0,645.4,0
216,4,8,5,4,9,5,3,1,6,2.0,7,4,8,0,10,2,9,3,3,3,1,688.3,2
217,4,8,9,3,4,6,4,1,6,2.0,4,2,9,0,1,2,6,3,4,2,1,698.1,1
218,5,3,5,3,2,4,3,1,3,3.0,8,0,6,8,7,1,4,3,5,2,1,615.0,5
219,4,8,8,8,7,8,2,1,9,5.0,9,7,7,7,2,2,6,5,10,3,1,727.6,2
220,4,2,10,7,8,10,4,2,6,8.0,5,10,7,7,1,2,10,3,10,3,1,720.0,1
221,5,4,10,10,10,10,5,2,6,6.0,10,10,7,7,2,2,4,4,10,3,1,727.8,3
222,5,10,10,10,10,6,5,2,10,6.0,8,2,8,0,1,2,10,3,10,4,1,754.8,0
223,1,2,4,3,4,3,1,2,6,4.0,3,5,6,0,0,2,4,1,5,3,0,624.2,4
224,4,4,4,3,6,7,3,1,8,1.0,7,5,8,0,6,2,4,1,4,3,1,676.4,2
225,3,0,1,0,0,0,3,1,3,0.0,2,1,7,3,2,1,2,0,1,2,0,573.2,4
226,2,0,1,10,0,0,1,2,0,5.0,1,2,5,10,0,2,10,0,1,4,1,581.1,5
227,5,5,2,3,5,2,1,1,6,1.0,3,4,7,10,7,2,2,2,5,3,1,624.4,3
228,3,6,5,4,7,4,1,1,5,3.0,6,3,8,10,2,2,4,5,7,2,1,667.7,1
229,4,1,3,6,3,8,2,2,4,4.0,6,4,8,0,1,2,4,5,8,2,0,667.7,2
230,5,10,10,10,5,10,5,1,6,4.0,6,2,8,0,1,2,10,6,10,2,1,754.4,2
231,4,5,9,4,10,7,3,1,6,4.0,6,1,6,0,2,2,10,3,7,3,1,706.4,3
232,5,8,4,3,9,3,1,1,1,2.0,8,1,5,6,0,2,4,1,3,4,0,645.4,5
233,1,1,3,1,5,1,1,2,3,3.0,1,3,5,4,3,2,4,8,2,3,1,598.1,3
234,2,4,8,1,3,0,3,1,3,1.0,7,2,7,10,5,2,5,0,4,2,0,625.2,2
235,5,10,10,10,10,10,5,1,7,5.0,3,1,7,10,1,2,10,2,5,2,0,728.1,1
236,4,2,2,10,8,1,5,1,4,0.0,2,1,7,0,1,2,7,0,7,4,1,668.4,3
237,2,9,3,2,8,3,1,1,8,3.0,6,5,8,0,10,2,10,1,8,3,1,672.8,3
238,5,6,10,10,10,2,2,2,7,5.0,8,10,6,0,3,2,10,6,3,4,1,710.2,4
239,1,3,2,0,6,1,5,1,3,2.0,3,0,7,10,0,2,0,4,10,1,0,629.5,2
240,2,0,10,7,10,1,4,1,5,10.0,8,5,6,0,3,2,5,2,4,3,1,693.2,3
241,4,7,5,10,10,4,4,2,3,1.0,6,3,7,10,10,2,3,2,5,2,0,638.6,4
242,4,6,10,7,10,7,3,2,6,6.0,7,10,8,0,2,2,10,4,10,3,0,729.1,3
243,2,4,3,1,3,2,1,1,2,8.0,4,1,6,5,4,1,8,1,2,4,0,607.4,3
244,4,2,5,8,10,1,4,1,8,2.0,9,2,7,0,1,2,7,1,2,2,0,685.1,4
245,2,3,5,2,10,4,1,1,5,6.0,5,0,8,5,1,2,3,3,10,2,1,655.6,5
246,2,4,2,10,2,2,2,2,9,2.0,5,1,8,0,2,2,5,5,10,3,1,664.1,1
247,2,3,8,6,3,5,5,1,4,1.0,3,1,8,0,1,2,7,1,5,2,1,672.2,2
248,1,5,6,8,7,3,3,2,7,2.0,2,3,7,0,1,2,5,5,7,4,0,665.0,2
249,2,6,10,10,7,10,2,2,4,4.0,4,1,6,4,1,2,10,5,7,3,1,687.3,2
250,5,2,3,0,5,1,2,1,9,5.0,4,5,8,10,5,2,4,3,3,4,1,646.9,1
251,4,10,6,10,2,8,1,1,8,1.0,8,3,8,5,5,2,7,1,5,4,0,681.7,4
252,4,10,8,10,8,8,3,1,10,2.0,10,2,7,0,1,2,6,5,7,4,0,741.4,1
253,3,5,4,10,10,10,4,2,9,6.0,10,5,8,8,0,2,10,7,5,2,1,722.9,1
254,3,0,6,0,4,7,0,1,2,2.0,8,2,9,6,10,2,2,0,9,1,1,620.7,4
255,3,0,4,0,3,0,0,1,3,0.0,8,2,8,7,10,2,1,0,5,1,1,589.9,4
256,5,6,5,3,10,5,0,1,10,3.0,5,10,7,0,2,2,10,2,10,2,0,720.0,1
257,3,5,1,3,1,1,1,2,1,0.0,5,0,8,10,7,2,3,1,3,2,1,575.7,3
258,5,8,10,6,10,2,0,1,3,6.0,5,0,6,5,0,2,5,0,7,4,1,684.1,1
